Region,Province,Estimate_000,Standard_Error_000,Coefficient_of_Variation,Estimate_000_1,Standard_Error_000_1,Coefficient_of_Variation_1,Estimate_000_2,Standard_Error_000_2,Coefficient_of_Variation_2,Island_Group
REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Norte,712.916,68.654,9.63,722.901,60.383,8.35,533.662,52.869,9.91,Mindanao
REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Sur,716.433,75.036,10.47,729.116,64.062,8.79,448.32,47.515,10.6,Mindanao
REGION IX (ZAMBOANGA PENINSULA),Zamboanga City,597.909,55.86,9.34,598.141,47.089,7.87,328.734,31.816,9.68,Mindanao
REGION IX (ZAMBOANGA PENINSULA),Zamboanga Sibugay,448.112,43.996,9.82,455.35,38.743,8.51,306.454,31.504,10.28,Mindanao
REGION IX (ZAMBOANGA PENINSULA),Isabela City,85.394,13.917,16.3,87.532,9.612,10.98,45.529,7.251,15.93,Mindanao
REGION X (NORTHERN MINDANAO),Bukidnon,1031.113,100.576,9.75,1060.388,88.63,8.36,807.512,81.898,10.14,Mindanao
REGION X (NORTHERN MINDANAO),Camiguin,62.696,10.341,16.49,63.873,6.54,10.24,42.229,6.873,16.28,Mindanao
REGION X (NORTHERN MINDANAO),Lanao del Norte,493.28,51.209,10.38,507.043,42.799,8.44,312.753,33.929,10.85,Mindanao
REGION X (NORTHERN MINDANAO),Iligan City,239.506,22.057,9.21,242.89,18.539,7.63,137.27,12.432,9.06,Mindanao
REGION X (NORTHERN MINDANAO),Misamis Occidental,436.131,42.581,9.76,437.945,36.665,8.37,306.9,30.88,10.06,Mindanao
REGION X (NORTHERN MINDANAO),Misamis Oriental,669.596,70.9,10.59,682.402,58.459,8.57,477.216,52.141,10.93,Mindanao
REGION XI (DAVAO REGION),Davao del Norte,727.724,77.012,10.58,734.536,62.64,8.53,460.118,51.376,11.17,Mindanao
REGION XI (DAVAO REGION),Davao City,1274,133.218,10.46,1303.974,101.086,7.75,808.69,83.475,10.32,Mindanao
REGION XI (DAVAO REGION),Davao Oriental,398.044,41.452,10.41,405.699,34.992,8.63,230.122,24.785,10.77,Mindanao
REGION XII (SOCCSKSARGEN),Cotabato,1013.285,103.905,10.25,1030.732,81.633,7.92,715.329,75.481,10.55,Mindanao
REGION XII (SOCCSKSARGEN),South Cotabato,687.205,66.735,9.71,697.666,59.908,8.59,476.953,47.851,10.03,Mindanao
REGION XIII (CARAGA),Agusan del Norte,259.992,24.441,9.4,263.874,21.143,8.01,160.179,15.388,9.61,Mindanao
REGION XIII (CARAGA),Butuan City,239.768,20.196,8.42,242.679,15.439,6.36,153.157,13.172,8.6,Mindanao
REGION VI (WESTERN VISAYAS),Aklan,41.237,9.71,428.948,35.194,8.2,266.191,26.033,9.78,Visayas
REGION VI (WESTERN VISAYAS),Antique,40.587,10.16,404.014,34.082,8.44,268.127,27.716,10.34,Visayas
REGION VI (WESTERN VISAYAS),Guimaras,17.08,13.27,130.589,14.575,11.16,75.502,10.408,13.79,Visayas
REGION VII (CENTRAL VISAYAS),Bohol,91.423,10.03,924.522,77.623,8.4,597.429,61.579,10.31,Visayas
REGION VII (CENTRAL VISAYAS),Cebu,238.896,10.26,2388.741,208.661,8.74,1494.357,153.523,10.27,Visayas
REGION VII (CENTRAL VISAYAS),Cebu City,69.099,10.5,658.1,54.253,8.24,425.426,45.306,10.65,Visayas
REGION VIII (EASTERN VISAYAS),Eastern Samar,33.857,10.02,343.026,29.803,8.69,220.039,22.051,10.02,Visayas
REGION VIII (EASTERN VISAYAS),Leyte,131.401,10.26,1307.108,108.626,8.31,751.659,77.29,10.28,Visayas
REGION III (CENTRAL LUZON),Bulacan,2624.467,277.118,10.56,2691.313,232.961,8.66,1555.796,167.881,10.79,Luzon
REGION III (CENTRAL LUZON),Pampanga,1709.915,174.909,10.23,1748.605,167.39,9.57,990.297,105.022,10.61,Luzon
REGION III (CENTRAL LUZON),Nueva Ecija,1671.54,168.898,10.1,1711.941,138.551,8.09,981.966,102.055,10.39,Luzon
REGION IV-A (CALABARZON),Cavite,3031.37,327.207,10.79,3114.666,270.244,8.68,1937.621,212.749,10.98,Luzon
REGION IV-A (CALABARZON),Laguna,2404.553,245.633,10.22,2437.982,220.968,9.06,1533.419,159.172,10.38,Luzon
REGION IV-A (CALABARZON),Rizal,2275.927,234.049,10.28,2339.802,196.313,8.39,1533.158,162.096,10.57,Luzon